id,A,B,C,D
qoyz91N1OP,-1.563560508848599,0.6429054703810638,0.7031674491145664,-1.2269253814222627
jorvPyGPWF,-2.5332768368036946,1.0009154603525798,0.583311523949079,-0.6103445526430713
rcrb1BKJVr,-1.192380988996343,-1.6231471517081888,1.1511787027682516,1.6247077135855164
lyul1gMyXH,-0.21528776706976463,0.8701384574653642,-1.3535792661327295,-0.6561575606235772
DPOscuX2AO,-0.5691720353497667,-0.5836388086318798,1.6432755569607491,0.4550742817974029
t2sOOFbbkF,-0.47621045725104527,0.31631729280835574,1.5714518746526855,0.667755905799005
ujeBBhLOAS,0.06738047418516488,-0.5413317660117084,-0.32601341748348917,0.8169234346604285
Z3WFcFvkJe,0.5916400568886374,0.8281914368043874,-1.0558813361106223,-0.26224052999651865
fiEDIhgMOg,-0.43940826448153464,-1.3602093916753275,0.8347187153339078,0.5893875169881823
5eVNOdG8o9,0.16029016768413076,-1.0603082710976424,1.3917116919328547,-1.7727692852727879
2kFj2g7oZz,-1.556438755289372,0.3593565116142076,2.2609716603976566,0.21019846021139968
ryVLOtpiny,1.4834434842837658,-1.120299888526553,-0.26040296766852616,0.07464518723708183
bOW3GA3vxk,-0.2877648156390812,-0.6752767929812559,0.12199564464745347,0.7081631285475114
ZcRdOoCBX6,-1.0565293000550717,-0.021262785940857155,0.8404892432252143,-0.8293283148725578
nXnP8FY23Q,0.5629074987379424,0.37774955929876547,-0.5375363411575448,-0.8566389985389258
oRSFIbJL3G,1.2105626087987953,0.5912845266950737,-1.1152369566348044,-0.3212732615057883
t7R9L6pS8v,0.06122229753983616,1.5515005040876717,1.1202405925802201,-1.4882199079503318
0K3bAJBGe0,1.5594149630239535,0.19857493700913306,-0.794280140168805,-1.855801079104559
bLdTL21wJX,0.4105387853144699,0.20285091456611887,0.31199120936989627,-0.6047179198286298
fbmbLUinMJ,-1.6259109181667295,-0.3228991077737667,1.9983799901639572,0.26745371708064436
kKYqHuV2v1,-0.4060480289745564,1.6192734672566598,0.022173601030438226,-0.9985492457228815
bJGdEwHBK9,0.37891814525067574,0.9518712581278138,1.9420132420418046,0.8295594417624405
WXOQp5Zbyf,-3.150182866818588,-0.8069147086279553,1.1436276337933546,-0.37772896566013414
Rby8I00L4Q,0.03631612228246649,0.03728565742736138,0.40760356490276667,-1.5853384981412209
pIf0auBAhW,-1.7443604058927946,0.3930572341777646,-0.9439294925610227,-2.0932951989983275
lTVZsrLsYB,-0.234287526724955,-0.17019269068769913,0.9977059015352007,-1.4108802293440148
BbYUWasavI,0.20040851732668655,-1.2776657458922893,-0.4914020616600655,-0.633174638266765
YNSrBnajHO,-0.4101962000876756,-0.9414175367795533,-0.540960317100168,-0.6623139125829645
tiNtTNJFbf,-0.8310553250455257,-0.7653582787867803,-0.9150219374688592,0.16387803785678856
Kt29QBVu5o,-0.04207649431205503,0.790601646844114,-0.3413054888850885,1.0266020922869186
